,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
190,3034,2021-02-25,2021-03-24,513.0,526.0,17881,Low prediction,232453.0,2.5341130604288553,54690.379575,972011083.2416339
191,6669,2021-01-05,2021-03-25,691.0,829.0,14452,Low prediction,1994376.0,19.971056439942103,67245.156,973938214.0856339
192,2371,2021-03-04,2021-03-25,29.3,27.6,327137,Low prediction,-556132.8999999998,-5.802047781569963,53612.029402500004,973328469.1562314
193,2371,2021-03-22,2021-03-25,27.45,27.6,339229,Low prediction,50884.350000000726,0.5464480874316946,54699.40414125,973324654.1020901
194,6446,2021-01-05,2021-03-29,92.7,95.5,107727,Low prediction,301635.5999999997,3.0204962243797207,59754.550995,973566535.1510952
195,6446,2021-01-05,2021-03-29,92.7,95.5,107094,Low prediction,299863.1999999997,3.0204962243797207,59403.43539,973806994.9157052
196,6446,2021-01-06,2021-03-29,91.7,95.5,109142,Low prediction,414739.5999999997,4.143947655398028,60383.90292,974161350.6127852
197,6446,2021-02-25,2021-03-29,116.5,95.5,78738,Low prediction,-1653498.0,-18.02575107296137,46345.1868,972461507.4259852
198,2385,2021-01-05,2021-04-14,85.9,89.5,116249,Low prediction,418496.3999999993,4.190919674039573,60268.712805,972819735.1131802
199,2385,2021-03-04,2021-04-14,93.8,89.5,102186,Low prediction,-439399.7999999997,-4.584221748400852,54128.179665,972326207.1335151
200,2609,2021-03-22,2021-04-16,35.8,47.2,260107,Low prediction,2965219.8000000017,31.84357541899443,67595.306625,975223831.6268901
201,2376,2021-03-12,2021-04-26,95.9,114.5,100854,Low prediction,1875884.3999999994,19.395203336809175,64881.395280000004,977034834.63161
202,3702,2021-01-05,2021-05-06,42.8,50.0,233317,Low prediction,1679882.4000000006,16.82242990654206,65851.39008,978648865.64153
203,2618,2021-02-17,2021-05-06,13.25,17.0,686699,Low prediction,2575121.25,28.301886792452823,64622.66776875,981159364.2237613
204,2610,2021-02-24,2021-05-06,12.5,18.75,793737,Low prediction,4960856.25,50.0,79993.80703125,986040226.66673
205,2610,2021-02-25,2021-05-06,12.35,18.75,742754,Low prediction,4753625.600000001,51.821862348178136,74696.912895,990719155.3538351
